state_fips,state,year,construction_real_gdp,construction_real_gdp_unit,unit_multiplier,construction_real_gdp_growth_pct
29,Missouri,2023,13764.9,millions_of_chained_2017_dollars,6,1.7233607011683638
30,Montana,2015,2668.9,millions_of_chained_2017_dollars,6,
30,Montana,2016,2669.8,millions_of_chained_2017_dollars,6,0.03372175802764943
30,Montana,2017,2677.1,millions_of_chained_2017_dollars,6,0.27342872125251105
30,Montana,2018,2759.3,millions_of_chained_2017_dollars,6,3.0704867207052455
30,Montana,2019,2794.8,millions_of_chained_2017_dollars,6,1.2865581850469265
30,Montana,2020,2931.1,millions_of_chained_2017_dollars,6,4.876914269357369
30,Montana,2021,3152.9,millions_of_chained_2017_dollars,6,7.567124970147732
30,Montana,2022,3196.6,millions_of_chained_2017_dollars,6,1.3860255637666796
30,Montana,2023,3165.6,millions_of_chained_2017_dollars,6,-0.9697803916661418
31,Nebraska,2015,4608.3,millions_of_chained_2017_dollars,6,
31,Nebraska,2016,4763.7,millions_of_chained_2017_dollars,6,3.372176290606066
31,Nebraska,2017,5086.4,millions_of_chained_2017_dollars,6,6.774146146902615
31,Nebraska,2018,5184,millions_of_chained_2017_dollars,6,1.9188424032714702
31,Nebraska,2019,5454.1,millions_of_chained_2017_dollars,6,5.210262345679029
31,Nebraska,2020,5701.9,millions_of_chained_2017_dollars,6,4.543371041968425
31,Nebraska,2021,5727.2,millions_of_chained_2017_dollars,6,0.44371174520774215
31,Nebraska,2022,5455.8,millions_of_chained_2017_dollars,6,-4.7387903338454995
31,Nebraska,2023,5796.9,millions_of_chained_2017_dollars,6,6.252062025734073
32,Nevada,2015,8047.8,millions_of_chained_2017_dollars,6,
32,Nevada,2016,9126.9,millions_of_chained_2017_dollars,6,13.408633415343306
32,Nevada,2017,10717.4,millions_of_chained_2017_dollars,6,17.42650845303444
32,Nevada,2018,11614.3,millions_of_chained_2017_dollars,6,8.368634183663936
32,Nevada,2019,12886.7,millions_of_chained_2017_dollars,6,10.955460079384904
