state_fips,state,year,real_gdp,personal_income
54,West Virginia,2019,77162.2,76725
54,West Virginia,2020,74729.6,80440.3
54,West Virginia,2021,76230.8,87322.5
54,West Virginia,2022,77549.1,88990.1
54,West Virginia,2023,80364.9,93771
55,Wisconsin,2015,315687.8,266132
55,Wisconsin,2016,319272.3,270846.6
55,Wisconsin,2017,321886.8,281979.5
55,Wisconsin,2018,328832.4,295996.8
55,Wisconsin,2019,333256.8,307947.5
55,Wisconsin,2020,324014.4,327298.4
55,Wisconsin,2021,334848.6,357005.4
55,Wisconsin,2022,341875.2,365050.1
55,Wisconsin,2023,347108.2,384719.8
56,Wyoming,2015,40063.9,32755.6
56,Wyoming,2016,37853.5,31090.1
56,Wyoming,2017,37620.3,32487.4
56,Wyoming,2018,37977.2,34025.2
56,Wyoming,2019,38577.1,35585.6
56,Wyoming,2020,36463.5,37602.9
56,Wyoming,2021,37182.6,41420.5
56,Wyoming,2022,37690.6,45259.3
56,Wyoming,2023,39843.2,48583
