year,state,state_fips,region,division,crushed_stone_tons,crushed_stone_total_value,crushed_stone_unit_value
2016,Mississippi,28,South,East South Central,2170000,64100000,29.5
2017,Mississippi,28,South,East South Central,2090000,63300000,30.36
2018,Mississippi,28,South,East South Central,2060000,64500000,31.23
2019,Mississippi,28,South,East South Central,2090000,71700000,34.36
2020,Mississippi,28,South,East South Central,1320000,47000000,35.58
2021,Mississippi,28,South,East South Central,1320000,48600000,36.73000000000001
2022,Mississippi,28,South,East South Central,1700000,65400000,38.52
2023,Mississippi,28,South,East South Central,2300000,94900000,41.290000000000006
2015,Missouri,29,Midwest,West North Central,70800000,531000000,7.51
2016,Missouri,29,Midwest,West North Central,72000000,558000000,7.74
2017,Missouri,29,Midwest,West North Central,74600000,570000000,7.64
2018,Missouri,29,Midwest,West North Central,71400000,536000000,7.51
2019,Missouri,29,Midwest,West North Central,74000000,532000000,7.1899999999999995
2020,Missouri,29,Midwest,West North Central,81700000,594000000,7.28
2021,Missouri,29,Midwest,West North Central,85500000,643000000,7.52
2022,Missouri,29,Midwest,West North Central,85200000,715000000,8.39
2023,Missouri,29,Midwest,West North Central,86100000,764000000,8.870000000000003
2015,Montana,30,West,Mountain,2820000,28200000,10
2016,Montana,30,West,Mountain,2800000,25700000,9.200000000000001
2017,Montana,30,West,Mountain,2690000,23900000,8.88
2018,Montana,30,West,Mountain,2760000,23300000,8.450000000000001
2019,Montana,30,West,Mountain,2900000,24500000,8.44
2020,Montana,30,West,Mountain,2890000,26400000,9.120000000000001
2021,Montana,30,West,Mountain,2890000,26300000,9.09
2022,Montana,30,West,Mountain,2880000,36500000,12.66
2023,Montana,30,West,Mountain,2870000,41800000,14.55
2015,Nebraska,31,Midwest,West North Central,7030000,85100000,12.1
2016,Nebraska,31,Midwest,West North Central,6880000,86000000,12.51
2017,Nebraska,31,Midwest,West North Central,7060000,92800000,13.139999999999999
2018,Nebraska,31,Midwest,West North Central,7060000,96200000,13.62
2019,Nebraska,31,Midwest,West North Central,,,
2020,Nebraska,31,Midwest,West North Central,,,
2021,Nebraska,31,Midwest,West North Central,,,
2022,Nebraska,31,Midwest,West North Central,,,
2023,Nebraska,31,Midwest,West North Central,,,
2015,Nevada,32,West,Mountain,8770000,81800000,9.32
2016,Nevada,32,West,Mountain,9420000,75800000,8.05
2017,Nevada,32,West,Mountain,11900000,96500000,8.129999999999999
2018,Nevada,32,West,Mountain,12200000,113000000,9.229999999999999
2019,Nevada,32,West,Mountain,12400000,132000000,10.709999999999999
2020,Nevada,32,West,Mountain,11200000,121000000,10.860000000000001
2021,Nevada,32,West,Mountain,9960000,113000000,11.31
2022,Nevada,32,West,Mountain,10100000,128000000,12.7
2023,Nevada,32,West,Mountain,10000000,129000000,12.88
2015,New Hampshire,33,Northeast,New England,5550000,51500000,9.280000000000001
2016,New Hampshire,33,Northeast,New England,5660000,55300000,9.780000000000001
2017,New Hampshire,33,Northeast,New England,5190000,51900000,10.01
2018,New Hampshire,33,Northeast,New England,5250000,53200000,10.120000000000001
2019,New Hampshire,33,Northeast,New England,5430000,60700000,11.19
2020,New Hampshire,33,Northeast,New England,5310000,66300000,12.49
2021,New Hampshire,33,Northeast,New England,5070000,69600000,13.729999999999999
2022,New Hampshire,33,Northeast,New England,5150000,74100000,14.38
2023,New Hampshire,33,Northeast,New England,5130000,83800000,16.35
2015,New Jersey,34,Northeast,Middle Atlantic,17800000,161000000,9.040000000000001
2016,New Jersey,34,Northeast,Middle Atlantic,16600000,159000000,9.59
2017,New Jersey,34,Northeast,Middle Atlantic,17200000,192000000,11.18
2018,New Jersey,34,Northeast,Middle Atlantic,17800000,192000000,10.81
2019,New Jersey,34,Northeast,Middle Atlantic,18400000,206000000,11.2
2020,New Jersey,34,Northeast,Middle Atlantic,17300000,201000000,11.6
2021,New Jersey,34,Northeast,Middle Atlantic,17700000,293000000,16.52
2022,New Jersey,34,Northeast,Middle Atlantic,17800000,305000000,17.09
2023,New Jersey,34,Northeast,Middle Atlantic,18700000,362000000,19.37
2015,New Mexico,35,West,Mountain,5120000,45700000,8.91
2016,New Mexico,35,West,Mountain,4760000,43800000,9.21
2017,New Mexico,35,West,Mountain,4500000,40800000,9.07
2018,New Mexico,35,West,Mountain,4300000,40700000,9.460000000000003
2019,New Mexico,35,West,Mountain,4220000,38900000,9.21
2020,New Mexico,35,West,Mountain,4930000,46600000,9.450000000000001
2021,New Mexico,35,West,Mountain,4270000,47000000,11.01
2022,New Mexico,35,West,Mountain,4810000,59600000,12.4
2023,New Mexico,35,West,Mountain,4480000,63900000,14.27
2015,New York,36,Northeast,Middle Atlantic,40700000,475000000,11.67
2016,New York,36,Northeast,Middle Atlantic,38300000,468000000,12.209999999999999
2017,New York,36,Northeast,Middle Atlantic,37000000,464000000,12.52
2018,New York,36,Northeast,Middle Atlantic,39800000,515000000,12.94
2019,New York,36,Northeast,Middle Atlantic,39100000,505000000,12.94
2020,New York,36,Northeast,Middle Atlantic,36700000,475000000,12.950000000000001
2021,New York,36,Northeast,Middle Atlantic,40600000,523000000,12.89
2022,New York,36,Northeast,Middle Atlantic,42000000,560000000,13.33
2023,New York,36,Northeast,Middle Atlantic,42200000,634000000,15.03
2015,North Carolina,37,South,South Atlantic,50200000,787000000,15.69
2016,North Carolina,37,South,South Atlantic,57900000,960000000,16.57
2017,North Carolina,37,South,South Atlantic,55400000,944000000,17.03
2018,North Carolina,37,South,South Atlantic,56100000,1000000000,17.88
2019,North Carolina,37,South,South Atlantic,60700000,1130000000,18.56
2020,North Carolina,37,South,South Atlantic,55900000,1080000000,19.38
2021,North Carolina,37,South,South Atlantic,62300000,1250000000,20.15
2022,North Carolina,37,South,South Atlantic,62700000,1380000000,21.93
2023,North Carolina,37,South,South Atlantic,66800000,1600000000,24.01
2015,North Dakota,38,Midwest,West North Central,788000,6650000,8.44
2016,North Dakota,38,Midwest,West North Central,734000,6840000,9.33
2017,North Dakota,38,Midwest,West North Central,427000,2550000,5.98
2018,North Dakota,38,Midwest,West North Central,326000,2310000,7.1
2019,North Dakota,38,Midwest,West North Central,337000,2200000,6.52
2020,North Dakota,38,Midwest,West North Central,411000,2580000,6.29
2021,North Dakota,38,Midwest,West North Central,321000,2400000,7.48
2022,North Dakota,38,Midwest,West North Central,311000,3060000,9.850000000000001
2023,North Dakota,38,Midwest,West North Central,410000,4200000,10.239999999999998
2015,Ohio,39,Midwest,East North Central,58400000,523000000,8.97
2016,Ohio,39,Midwest,East North Central,61100000,621000000,10.16
2017,Ohio,39,Midwest,East North Central,60700000,671000000,11.04
2018,Ohio,39,Midwest,East North Central,66000000,731000000,11.06
2019,Ohio,39,Midwest,East North Central,67900000,751000000,11.05
2020,Ohio,39,Midwest,East North Central,66800000,723000000,10.82
2021,Ohio,39,Midwest,East North Central,72600000,885000000,12.18
2022,Ohio,39,Midwest,East North Central,75600000,925000000,12.239999999999998
2023,Ohio,39,Midwest,East North Central,73900000,1030000000,13.870000000000001
2015,Oklahoma,40,South,West South Central,38400000,340000000,8.850000000000001
2016,Oklahoma,40,South,West South Central,37200000,339000000,9.11
2017,Oklahoma,40,South,West South Central,35800000,340000000,9.51
2018,Oklahoma,40,South,West South Central,36800000,339000000,9.219999999999999
2019,Oklahoma,40,South,West South Central,38400000,314000000,8.18
2020,Oklahoma,40,South,West South Central,38300000,329000000,8.59
2021,Oklahoma,40,South,West South Central,41500000,358000000,8.61
2022,Oklahoma,40,South,West South Central,39900000,387000000,9.69
2023,Oklahoma,40,South,West South Central,39500000,405000000,10.25
2015,Oregon,41,West,Pacific,18300000,132000000,7.2
2016,Oregon,41,West,Pacific,20300000,148000000,7.29
2017,Oregon,41,West,Pacific,19900000,152000000,7.63
2018,Oregon,41,West,Pacific,22200000,189000000,8.51
2019,Oregon,41,West,Pacific,20700000,182000000,8.8
2020,Oregon,41,West,Pacific,20200000,180000000,8.89
2021,Oregon,41,West,Pacific,21600000,231000000,10.69
2022,Oregon,41,West,Pacific,24900000,306000000,12.29
2023,Oregon,41,West,Pacific,23600000,291000000,12.34
2015,Pennsylvania,42,Northeast,Middle Atlantic,89300000,1100000000,12.360000000000001
2016,Pennsylvania,42,Northeast,Middle Atlantic,86600000,1150000000,13.27
2017,Pennsylvania,42,Northeast,Middle Atlantic,89500000,1200000000,13.370000000000001
2018,Pennsylvania,42,Northeast,Middle Atlantic,87600000,1160000000,13.28
2019,Pennsylvania,42,Northeast,Middle Atlantic,95500000,1390000000,14.53
2020,Pennsylvania,42,Northeast,Middle Atlantic,88500000,1290000000,14.55
2021,Pennsylvania,42,Northeast,Middle Atlantic,93400000,1410000000,15.139999999999999
2022,Pennsylvania,42,Northeast,Middle Atlantic,91400000,1520000000,16.64
2023,Pennsylvania,42,Northeast,Middle Atlantic,88300000,1640000000,18.62
2015,Rhode Island,44,Northeast,New England,2360000,25300000,10.7
2016,Rhode Island,44,Northeast,New England,2280000,24500000,10.76
2017,Rhode Island,44,Northeast,New England,2230000,24100000,10.79
2018,Rhode Island,44,Northeast,New England,1800000,19500000,10.82
2019,Rhode Island,44,Northeast,New England,1930000,21500000,11.129999999999999
2020,Rhode Island,44,Northeast,New England,2030000,23300000,11.46
2021,Rhode Island,44,Northeast,New England,2150000,25500000,11.850000000000001
2022,Rhode Island,44,Northeast,New England,2490000,31100000,12.46
2023,Rhode Island,44,Northeast,New England,2400000,31300000,13.07
2015,South Carolina,45,South,South Atlantic,23900000,275000000,11.51
2016,South Carolina,45,South,South Atlantic,28300000,338000000,11.93
2017,South Carolina,45,South,South Atlantic,28700000,364000000,12.66
2018,South Carolina,45,South,South Atlantic,27500000,366000000,13.3
2019,South Carolina,45,South,South Atlantic,29200000,434000000,14.88
2020,South Carolina,45,South,South Atlantic,27900000,441000000,15.79
2021,South Carolina,45,South,South Atlantic,31000000,556000000,17.92
2022,South Carolina,45,South,South Atlantic,33800000,644000000,19.03
2023,South Carolina,45,South,South Atlantic,34700000,735000000,21.17
2015,South Dakota,46,Midwest,West North Central,6580000,47600000,7.24
2016,South Dakota,46,Midwest,West North Central,6850000,49100000,7.159999999999999
2017,South Dakota,46,Midwest,West North Central,6440000,47800000,7.42
2018,South Dakota,46,Midwest,West North Central,6520000,51200000,7.85
2019,South Dakota,46,Midwest,West North Central,6940000,52000000,7.49
2020,South Dakota,46,Midwest,West North Central,8000000,62800000,7.859999999999999
2021,South Dakota,46,Midwest,West North Central,8300000,64700000,7.8
2022,South Dakota,46,Midwest,West North Central,7790000,65600000,8.43
2023,South Dakota,46,Midwest,West North Central,8150000,77200000,9.47
2015,Tennessee,47,South,East South Central,40200000,486000000,12.08
2016,Tennessee,47,South,East South Central,43700000,550000000,12.58
2017,Tennessee,47,South,East South Central,46000000,597000000,12.99
2018,Tennessee,47,South,East South Central,45100000,605000000,13.41
2019,Tennessee,47,South,East South Central,50400000,799000000,15.850000000000001
2020,Tennessee,47,South,East South Central,52300000,847000000,16.170000000000005
2021,Tennessee,47,South,East South Central,56900000,949000000,16.68
2022,Tennessee,47,South,East South Central,60500000,1080000000,17.89
2023,Tennessee,47,South,East South Central,58900000,1210000000,20.51
2015,Texas,48,South,West South Central,155000000,1560000000,10.1
2016,Texas,48,South,West South Central,159000000,1660000000,10.450000000000001
2017,Texas,48,South,West South Central,162000000,1780000000,10.94
2018,Texas,48,South,West South Central,178000000,2070000000,11.639999999999999
2019,Texas,48,South,West South Central,191000000,2650000000,13.860000000000001
2020,Texas,48,South,West South Central,189000000,2620000000,13.88
2021,Texas,48,South,West South Central,190000000,2710000000,14.229999999999999
2022,Texas,48,South,West South Central,202000000,2940000000,14.57
2023,Texas,48,South,West South Central,203000000,3280000000,16.130000000000003
2015,Utah,49,West,Mountain,8130000,58900000,7.24
2016,Utah,49,West,Mountain,7880000,58400000,7.41
2017,Utah,49,West,Mountain,9970000,75600000,7.58
2018,Utah,49,West,Mountain,10100000,78500000,7.7700000000000005
2019,Utah,49,West,Mountain,10800000,87000000,8.08
2020,Utah,49,West,Mountain,12300000,113000000,9.239999999999998
2021,Utah,49,West,Mountain,13200000,124000000,9.43
2022,Utah,49,West,Mountain,13400000,141000000,10.5
2023,Utah,49,West,Mountain,12100000,134000000,11.06
2015,Vermont,50,Northeast,New England,4820000,49100000,10.200000000000001
2016,Vermont,50,Northeast,New England,4800000,49100000,10.239999999999998
2017,Vermont,50,Northeast,New England,4630000,46400000,10.030000000000001
2018,Vermont,50,Northeast,New England,5080000,51100000,10.06
2019,Vermont,50,Northeast,New England,5400000,55300000,10.239999999999998
2020,Vermont,50,Northeast,New England,5230000,60900000,11.639999999999999
2021,Vermont,50,Northeast,New England,5320000,63500000,11.94
2022,Vermont,50,Northeast,New England,5400000,68600000,12.719999999999999
2023,Vermont,50,Northeast,New England,5630000,77100000,13.69
2015,Virginia,51,South,South Atlantic,48500000,759000000,15.65
2016,Virginia,51,South,South Atlantic,50000000,822000000,16.439999999999998
2017,Virginia,51,South,South Atlantic,51000000,823000000,16.130000000000003
2018,Virginia,51,South,South Atlantic,49500000,813000000,16.42
2019,Virginia,51,South,South Atlantic,51400000,923000000,17.959999999999997
2020,Virginia,51,South,South Atlantic,53100000,1010000000,18.959999999999997
2021,Virginia,51,South,South Atlantic,54700000,1050000000,19.25
2022,Virginia,51,South,South Atlantic,50800000,1030000000,20.329999999999995
2023,Virginia,51,South,South Atlantic,52000000,1150000000,22.21
2015,Washington,53,West,Pacific,14200000,201000000,14.209999999999999
2016,Washington,53,West,Pacific,15500000,213000000,13.739999999999998
2017,Washington,53,West,Pacific,15800000,222000000,14.08
2018,Washington,53,West,Pacific,15700000,226000000,14.34
2019,Washington,53,West,Pacific,15400000,170000000,10.98
2020,Washington,53,West,Pacific,15200000,175000000,11.52
2021,Washington,53,West,Pacific,16700000,195000000,11.7
2022,Washington,53,West,Pacific,16700000,220000000,13.15
2023,Washington,53,West,Pacific,16000000,218000000,13.65
2015,West Virginia,54,South,South Atlantic,15000000,166000000,11.03
2016,West Virginia,54,South,South Atlantic,14300000,161000000,11.239999999999998
2017,West Virginia,54,South,South Atlantic,13400000,146000000,10.860000000000001
2018,West Virginia,54,South,South Atlantic,15600000,175000000,11.18
2019,West Virginia,54,South,South Atlantic,16900000,189000000,11.2
2020,West Virginia,54,South,South Atlantic,13600000,161000000,11.77
2021,West Virginia,54,South,South Atlantic,14200000,166000000,11.7
2022,West Virginia,54,South,South Atlantic,14000000,182000000,12.97
2023,West Virginia,54,South,South Atlantic,14600000,212000000,14.49
2015,Wisconsin,55,Midwest,East North Central,22700000,171000000,7.53
2016,Wisconsin,55,Midwest,East North Central,24700000,200000000,8.08
2017,Wisconsin,55,Midwest,East North Central,25300000,206000000,8.129999999999999
2018,Wisconsin,55,Midwest,East North Central,26300000,213000000,8.129999999999999
2019,Wisconsin,55,Midwest,East North Central,27800000,185000000,6.6499999999999995
2020,Wisconsin,55,Midwest,East North Central,25100000,186000000,7.4
2021,Wisconsin,55,Midwest,East North Central,25700000,208000000,8.09
