model,track,year,n,r_squared,rmse,mae,rmse_skill,change_r_squared
ridge_0.1,lagged,2019,45,0.996922351154751,1887830.60656856,1242398.7590770118,0.3678774978696878,0.4363943672651406
ridge_0.1,lagged,2020,46,0.990531602787065,3265914.443505637,1947669.7130997207,-0.4558332059391157,-1.141181538259398
ridge_0.1,lagged,2021,46,0.9961957508023573,2121227.463425451,1447213.7278242258,0.10699919282741288,-0.014234307783548727
ridge_1,lagged,2019,45,0.996161422373536,2108330.3162817205,1405497.8711316397,0.29404522301519675,0.2970465180571785
ridge_1,lagged,2020,46,0.9907161336332123,3233932.934468418,1902859.493213576,-0.4415769406150165,-1.0994517679377425
ridge_1,lagged,2021,46,0.9958712789814695,2209838.479136514,1521016.70296979,0.06969545717495229,-0.10074032659464782
ridge_10,lagged,2019,45,0.9815407606292015,4623388.523280673,3095634.173799264,-0.5480986013723741,-2.38041531328158
ridge_10,lagged,2020,46,0.9850575330132046,4102775.1979869413,2603744.641982273,-0.8288771714795566,-2.3790866319452926
ridge_10,lagged,2021,46,0.9887099618552102,3654268.607375035,2392965.8507586196,-0.5383851436383391,-2.00998789188842
ridge_100,lagged,2019,45,0.8280261387679274,14111874.677619135,9190806.179482665,-3.725229848445112,-30.493338501948827
ridge_100,lagged,2020,46,0.875333623566294,11850624.497974033,8224454.973490894,-4.282603985408531,-27.19203056847724
ridge_100,lagged,2021,46,0.8931784315639598,11240412.198451761,7372422.3535502525,-3.73202300990423,-27.479233060287967
sameyear_pooled_log,sameyear_conditional,2019,46,0.4045329841389349,26053312.856341556,17878630.99658774,-7.817361097831268,-107.07284874564574
sameyear_pooled_log,sameyear_conditional,2020,46,0.31817827789783304,27658269.77030194,18053937.431148626,-11.326716867540064,-152.53571370881255
sameyear_pooled_log,sameyear_conditional,2021,47,0.33987717462164624,27741727.197199095,17566620.15618557,-10.796879606850716,-173.8257635571861
sameyear_state_log,sameyear_conditional,2019,46,0.9909925061095665,3204321.529324309,1371167.360771063,-0.0844555605422832,-0.6347933619639419
sameyear_state_log,sameyear_conditional,2020,46,0.9944776253226139,2489158.353510273,1372486.8919241256,-0.10936622272516017,-0.2435534245606117
sameyear_state_log,sameyear_conditional,2021,47,0.9951558018942984,2376468.5407307413,1562950.424833671,-0.010568414330714981,-0.2829288733746631
state_historical_mean,lagged,2019,45,0.9786301678669769,4974552.803602885,2479427.777777778,-0.6656826911544282,-2.9134281935259936
state_historical_mean,lagged,2020,46,0.9856912839184676,4014827.610030208,2128943.4782608696,-0.7896731380780482,-2.2357703232092883
state_historical_mean,lagged,2021,46,0.9813530528190795,4696308.6602144055,2934039.8550724634,-0.9770663432438931,-3.9713813643008367
state_log_lag_all,lagged,2019,45,0.989240637620834,3529772.841754409,1663953.508586147,-0.18191157242496359,-0.9703473483969924
state_log_lag_all,lagged,2020,46,0.9957216142847697,2195363.9922026354,1410258.947038876,0.021381651522696332,0.032486671082080365
state_log_lag_all,lagged,2021,46,0.9966482382563706,1991082.8529894,1466971.5705635443,0.1617878678622341,0.10640140135620002
