model,state_fips,state,n,rmse,mae,naive_rmse
log_ar_l_gdp,51,Virginia,2,4028025.3411785695,3013012.0605660677,2885307.6092507015
log_ar_l_gdp,53,Washington,2,737273.0790777974,648949.6346959732,494974.74683058326
log_ar_l_gdp,54,West Virginia,2,443686.0403014042,413440.90749411285,447213.5954999579
log_ar_l_gdp,55,Wisconsin,2,629724.438043553,457925.8746571727,1051189.802081432
log_ar_l_gdp,56,Wyoming,2,1006608.9174360126,818930.4924710188,974910.252279665
log_ar_l_highway,01,Alabama,2,1696711.9138467854,1696352.4503020756,254950.97567963923
log_ar_l_highway,02,Alaska,2,170865.93952181525,151990.43091144908,191128.22920751397
log_ar_l_highway,04,Arizona,2,1511100.9248069467,1201157.9740674049,1562049.935181331
log_ar_l_highway,05,Arkansas,2,2282048.79555215,1816034.2760516535,1834393.632784414
log_ar_l_highway,06,California,2,1103351.5992385815,957682.9821702838,1676305.461424021
log_ar_l_highway,08,Colorado,2,1207349.582596666,866199.8157847915,1070046.727951635
log_ar_l_highway,09,Connecticut,2,389867.1473851416,297348.4235172458,424264.0687119285
log_ar_l_highway,12,Florida,2,1440305.0950430934,1389629.9704621881,4210700.65428546
log_ar_l_highway,13,Georgia,2,1160530.753410789,823667.31981498,3166228.039797513
log_ar_l_highway,15,Hawaii,2,524252.1215445961,499423.26988700125,526545.3446760307
log_ar_l_highway,16,Idaho,2,192523.46614333734,187883.3882787996,185607.11193270585
log_ar_l_highway,17,Illinois,2,2144468.24092505,2139489.5151610784,2538700.4549572207
log_ar_l_highway,18,Indiana,2,1187616.7810825398,1187295.6460730582,2024845.6731316587
log_ar_l_highway,19,Iowa,2,2042808.3739705689,2015256.7633970454,1106797.1810589328
log_ar_l_highway,20,Kansas,2,698775.6665161682,694138.9354714826,353553.39059327374
log_ar_l_highway,21,Kentucky,2,647197.9858992511,514199.14732059836,2256102.8345356956
log_ar_l_highway,23,Maine,2,191545.35136701242,191536.02651084587,220000
log_ar_l_highway,24,Maryland,2,1510921.5603250982,1463056.9544311073,1012422.8365658293
log_ar_l_highway,25,Massachusetts,2,490512.209246213,465967.8943198584,452769.2569068708
log_ar_l_highway,26,Michigan,2,2624278.936800613,1995161.1681268513,2154065.9228538014
log_ar_l_highway,27,Minnesota,2,446267.85019744193,418381.2654433977,449444.10108488466
log_ar_l_highway,28,Mississippi,2,546575.8883882686,535456.7051837655,502195.1811795888
log_ar_l_highway,29,Missouri,2,3758118.8001505304,3695606.0101895407,670820.3932499369
log_ar_l_highway,30,Montana,2,32478.579987284378,32161.89977100049,10000
log_ar_l_highway,32,Nevada,2,134573.45017745276,118555.65665847994,121655.2506059644
log_ar_l_highway,33,New Hampshire,2,57573.030990976804,56382.55973039009,58309.518948453006
log_ar_l_highway,34,New Jersey,2,510543.7236950768,372019.2158318609,640312.4237432849
log_ar_l_highway,35,New Mexico,2,465596.53631242353,443757.0105565414,447493.01670528896
log_ar_l_highway,36,New York,2,636807.3476961681,633088.8493616618,1000000
log_ar_l_highway,37,North Carolina,2,1947101.1593954908,1887448.752803307,2912902.3327259016
log_ar_l_highway,38,North Dakota,2,82118.1075654759,62074.68492266847,70359.78965289763
log_ar_l_highway,39,Ohio,2,3339296.1379370717,2509006.928210631,2438237.068047322
log_ar_l_highway,40,Oklahoma,2,2266655.634576015,2167750.6903695464,1166190.37896906
log_ar_l_highway,41,Oregon,2,2379106.3610356236,2335782.711013939,2507987.2407968906
log_ar_l_highway,42,Pennsylvania,2,6082704.490743388,6059328.494077213,2608639.4921491165
log_ar_l_highway,44,Rhode Island,2,273413.15559716383,218919.02563944715,248696.60230891776
log_ar_l_highway,45,South Carolina,2,1470486.8187962396,1081111.559019737,2079663.4343085422
log_ar_l_highway,46,South Dakota,2,452264.4442433588,436340.69589823345,441418.16908686486
log_ar_l_highway,47,Tennessee,2,2908247.194783642,2653744.381446019,2785677.655436824
log_ar_l_highway,48,Texas,2,6214631.996344935,5876448.2888480425,8514693.1829632
log_ar_l_highway,49,Utah,2,1003772.6018125803,761766.2126653856,930053.7618869137
log_ar_l_highway,50,Vermont,2,150456.6842055597,132110.5068847998,172191.75357722564
log_ar_l_highway,51,Virginia,2,3978951.178223635,2971060.6973790824,2885307.6092507015
log_ar_l_highway,53,Washington,2,615988.6452800384,501260.52427135035,494974.74683058326
log_ar_l_highway,54,West Virginia,2,428352.8415076797,426236.4489435088,447213.5954999579
log_ar_l_highway,55,Wisconsin,2,603819.418903209,469812.5863609426,1051189.802081432
log_ar_l_highway,56,Wyoming,2,958580.4061045158,819970.0104830549,974910.252279665
log_ar_l_permits,01,Alabama,2,1186490.100574085,1185765.7553133145,254950.97567963923
log_ar_l_permits,02,Alaska,2,174948.13490019785,156327.01962890534,191128.22920751397
log_ar_l_permits,04,Arizona,2,1336976.153691331,1209988.3273175815,1562049.935181331
log_ar_l_permits,05,Arkansas,2,2050556.3119895265,1790711.724958498,1834393.632784414
log_ar_l_permits,06,California,2,764019.0061389396,542331.7396227531,1676305.461424021
log_ar_l_permits,08,Colorado,2,1507784.2451863748,1262080.7984361388,1070046.727951635
log_ar_l_permits,09,Connecticut,2,476738.3311029094,385903.4953644462,424264.0687119285
log_ar_l_permits,12,Florida,2,1872401.8774882015,1837400.2622633576,4210700.65428546
log_ar_l_permits,13,Georgia,2,787672.2905410661,767044.3067009784,3166228.039797513
log_ar_l_permits,15,Hawaii,2,556265.1183931214,471935.3274029698,526545.3446760307
log_ar_l_permits,16,Idaho,2,191555.6074153536,180694.9013735233,185607.11193270585
log_ar_l_permits,17,Illinois,2,2203214.2043392705,2187706.27376559,2538700.4549572207
log_ar_l_permits,18,Indiana,2,1080775.6084456404,1065553.7843867913,2024845.6731316587
log_ar_l_permits,19,Iowa,2,1513135.7458229535,1484725.9463671893,1106797.1810589328
log_ar_l_permits,20,Kansas,2,440840.37661791913,436596.05224282295,353553.39059327374
log_ar_l_permits,21,Kentucky,2,1450384.479166513,1368580.1872168183,2256102.8345356956
log_ar_l_permits,23,Maine,2,192262.96225915622,192203.72494857386,220000
log_ar_l_permits,24,Maryland,2,1475614.6603983627,1438401.4823829308,1012422.8365658293
log_ar_l_permits,25,Massachusetts,2,494429.8923141293,431914.803179672,452769.2569068708
log_ar_l_permits,26,Michigan,2,2548438.1385003,1987741.5441163182,2154065.9228538014
log_ar_l_permits,27,Minnesota,2,575888.1286432318,433761.2435277356,449444.10108488466
log_ar_l_permits,28,Mississippi,2,512590.965550857,500595.978617165,502195.1811795888
log_ar_l_permits,29,Missouri,2,1881684.5430465003,1735239.6502894312,670820.3932499369
log_ar_l_permits,30,Montana,2,11314.272764962145,11181.779269006336,10000
log_ar_l_permits,32,Nevada,2,189234.15055389458,156415.44389411807,121655.2506059644
log_ar_l_permits,33,New Hampshire,2,103334.3650654351,90893.96768917702,58309.518948453006
log_ar_l_permits,34,New Jersey,2,404856.0809598405,404252.4618189577,640312.4237432849
log_ar_l_permits,35,New Mexico,2,455973.0770944277,440656.75571309216,447493.01670528896
log_ar_l_permits,36,New York,2,997195.4958713858,708880.5292255767,1000000
log_ar_l_permits,37,North Carolina,2,2123579.062296655,1898181.6449912824,2912902.3327259016
log_ar_l_permits,38,North Dakota,2,75477.37705905871,54026.498422512406,70359.78965289763
log_ar_l_permits,39,Ohio,2,2822899.744306317,2327340.155567698,2438237.068047322
log_ar_l_permits,40,Oklahoma,2,1718792.5948459175,1581891.5197124295,1166190.37896906
log_ar_l_permits,41,Oregon,2,2372499.6451204545,2309382.930188516,2507987.2407968906
log_ar_l_permits,42,Pennsylvania,2,5740875.573095982,5740518.482608251,2608639.4921491165
log_ar_l_permits,44,Rhode Island,2,296786.037828559,209938.06755944202,248696.60230891776
log_ar_l_permits,45,South Carolina,2,1171190.0180340305,956863.4035332855,2079663.4343085422
log_ar_l_permits,46,South Dakota,2,430001.54294278426,423441.04369342886,441418.16908686486
log_ar_l_permits,47,Tennessee,2,2925137.6377307633,2576655.6504436918,2785677.655436824
log_ar_l_permits,48,Texas,2,9951825.735987386,8175911.710498735,8514693.1829632
log_ar_l_permits,49,Utah,2,1168798.8923532376,916376.9863567697,930053.7618869137
log_ar_l_permits,50,Vermont,2,296481.9172138181,287027.2946951054,172191.75357722564
log_ar_l_permits,51,Virginia,2,4127978.4152431204,3151917.7711951286,2885307.6092507015
log_ar_l_permits,53,Washington,2,1003557.8713488003,950135.5106915124,494974.74683058326
log_ar_l_permits,54,West Virginia,2,579516.0949957654,415888.6849151291,447213.5954999579
log_ar_l_permits,55,Wisconsin,2,552416.0865677086,405934.66293866,1051189.802081432
log_ar_l_permits,56,Wyoming,2,1057418.2411203564,806885.2103933557,974910.252279665
log_lag_all,01,Alabama,2,2035501.0037009267,2017957.2155155726,254950.97567963923
log_lag_all,02,Alaska,2,162206.75468155244,155266.1908054868,191128.22920751397
