excluded_state,term,estimate
South Carolina,l_highway_t,0.040475254836474316
South Carolina,l_gdp_t,0.5138081215123509
South Dakota,l_permits_t,0.1929218598797073
South Dakota,l_highway_t,0.037369899663473705
South Dakota,l_gdp_t,0.5174701052401564
Tennessee,l_permits_t,0.18865930942433645
Tennessee,l_highway_t,0.039780466074915664
Tennessee,l_gdp_t,0.5077091946141049
Texas,l_permits_t,0.18191523710436588
Texas,l_highway_t,0.041610716360075774
Texas,l_gdp_t,0.5318143010693868
Utah,l_permits_t,0.19389883033374672
Utah,l_highway_t,0.029515298448419287
Utah,l_gdp_t,0.4942803803527
Vermont,l_permits_t,0.18914263120834274
Vermont,l_highway_t,0.037589168831222625
Vermont,l_gdp_t,0.5347693091844531
Virginia,l_permits_t,0.19213048435552343
Virginia,l_highway_t,0.03926797259211519
Virginia,l_gdp_t,0.5179677718617426
Washington,l_permits_t,0.19289120884898384
Washington,l_highway_t,0.038563989769961005
Washington,l_gdp_t,0.518821649094452
West Virginia,l_permits_t,0.18364146786896357
West Virginia,l_highway_t,0.043585481014864064
West Virginia,l_gdp_t,0.544332356830975
Wisconsin,l_permits_t,0.19308279737419387
Wisconsin,l_highway_t,0.041696170285820545
Wisconsin,l_gdp_t,0.515332110163025
Wyoming,l_permits_t,0.22430397665621382
Wyoming,l_highway_t,0.04314505463002189
Wyoming,l_gdp_t,0.42285843480959845
