state_fips,state,year,target_observed,target_withheld,fhwa_year_matches,bls_months,msha_no_qualifying_activity,eligible_explanation,eligible_prediction
16,Idaho,2018,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
16,Idaho,2019,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
16,Idaho,2020,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
16,Idaho,2021,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
16,Idaho,2022,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
16,Idaho,2023,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
17,Illinois,2015,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
17,Illinois,2016,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
17,Illinois,2017,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
17,Illinois,2018,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
17,Illinois,2019,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
17,Illinois,2020,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
17,Illinois,2021,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
17,Illinois,2022,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
17,Illinois,2023,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
18,Indiana,2015,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
18,Indiana,2016,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
18,Indiana,2017,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
18,Indiana,2018,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
18,Indiana,2019,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
18,Indiana,2020,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
18,Indiana,2021,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
18,Indiana,2022,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
18,Indiana,2023,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
19,Iowa,2015,TRUE,FALSE,TRUE,,FALSE,TRUE,FALSE
19,Iowa,2016,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
19,Iowa,2017,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
19,Iowa,2018,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
19,Iowa,2019,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
19,Iowa,2020,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
19,Iowa,2021,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
19,Iowa,2022,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
19,Iowa,2023,TRUE,FALSE,TRUE,,FALSE,TRUE,TRUE
20,Kansas,2015,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
20,Kansas,2016,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
20,Kansas,2017,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
20,Kansas,2018,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
20,Kansas,2019,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
20,Kansas,2020,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
20,Kansas,2021,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
20,Kansas,2022,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
20,Kansas,2023,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
21,Kentucky,2015,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
21,Kentucky,2016,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
21,Kentucky,2017,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
21,Kentucky,2018,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
21,Kentucky,2019,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
21,Kentucky,2020,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
21,Kentucky,2021,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
21,Kentucky,2022,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
21,Kentucky,2023,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
22,Louisiana,2015,FALSE,TRUE,TRUE,12,FALSE,FALSE,FALSE
22,Louisiana,2016,FALSE,TRUE,TRUE,12,FALSE,FALSE,FALSE
22,Louisiana,2017,FALSE,TRUE,TRUE,12,FALSE,FALSE,FALSE
22,Louisiana,2018,FALSE,TRUE,TRUE,12,FALSE,FALSE,FALSE
22,Louisiana,2019,FALSE,TRUE,TRUE,12,FALSE,FALSE,FALSE
22,Louisiana,2020,FALSE,TRUE,TRUE,12,FALSE,FALSE,FALSE
22,Louisiana,2021,FALSE,TRUE,TRUE,12,FALSE,FALSE,FALSE
22,Louisiana,2022,FALSE,TRUE,TRUE,12,FALSE,FALSE,FALSE
22,Louisiana,2023,FALSE,TRUE,TRUE,12,TRUE,FALSE,FALSE
23,Maine,2015,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
23,Maine,2016,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
23,Maine,2017,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
23,Maine,2018,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
23,Maine,2019,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
23,Maine,2020,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
23,Maine,2021,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
23,Maine,2022,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
23,Maine,2023,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
24,Maryland,2015,TRUE,FALSE,TRUE,12,FALSE,TRUE,FALSE
24,Maryland,2016,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
24,Maryland,2017,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
24,Maryland,2018,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
24,Maryland,2019,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
24,Maryland,2020,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
24,Maryland,2021,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
24,Maryland,2022,TRUE,FALSE,TRUE,12,FALSE,TRUE,TRUE
