draw,rmse_difference,mae_difference
468,632030.8428624936,222599.19829876372
469,-114116.33117728774,147800.6993801978
470,-433928.8879718892,12303.315958363935
471,195029.16269412963,143545.57982783893
472,388644.7299674398,202454.11631871434
473,484151.7318128606,187386.02461521002
474,-86803.0898540509,-54297.05541182635
475,-58956.0001871346,60283.412165038986
476,-69392.36275603133,8816.344952525338
477,286212.9461849299,246224.43621747568
478,243504.6344808517,146748.4736880681
479,-184404.09854414524,-5400.3473538090475
480,-321490.85578550235,-170488.79187275236
481,-388012.1046751784,-156172.56475527666
482,364881.72498040297,174701.79170394782
483,-235612.35482244054,36460.02026996249
484,-74460.40111904964,121576.21482606162
485,750576.1447292101,394241.1876448535
486,-158328.5357861491,-13229.335594762815
487,-251233.66875198018,20731.898912193254
488,506823.1139710881,132814.7316510604
489,38758.69942789571,-1145.6360140640754
490,-89054.70781784039,-73384.71202227473
491,-308460.05456398055,-44939.52195846615
492,-133848.4571031276,66576.49198408681
493,19292.761667234823,-108045.90291086747
494,-231232.7170583352,3540.281493365881
495,-210159.99906454748,45026.923641054425
496,268222.09606517944,83561.07203054917
497,224430.73615751718,58792.65329150215
498,-344046.22396075865,-65210.15341436723
499,-167620.40320866276,98143.10080269328
500,-76654.23853632528,140076.8961845541
