state_fips,state,year,fitted_log,residual_log,standardized_residual,cooks_distance,leverage,prior_residual
13,Georgia,2023,17.96189767960827,0.0627731150066834,0.6684819820089976,0.0011532630776375128,0.132144319352583,-4.171335146557543e-4
26,Michigan,2015,17.358596886962015,-0.06184623966205061,-0.6596424712335904,0.001149590270803454,0.1348549247889565,
39,Ohio,2016,17.98675286337578,-0.05873043923395653,-0.627169317651174,0.0010578888948579522,0.136949015566973,-0.08961929537041737
27,Minnesota,2019,15.955524076120552,-0.05932275707601087,-0.6320455964507959,0.001038556171527256,0.13298742558044951,-0.0210160633881149
35,New Mexico,2017,15.260759298367539,0.05882865637300921,0.6270889135466089,0.0010298789573412364,0.13383790364671921,0.11032075072688613
04,Arizona,2021,16.30512283872193,-0.055998925357205874,-0.5998483724882504,0.0010114767168015566,0.14225937942124342,-0.10349035205995465
25,Massachusetts,2021,16.374178817613625,-0.04097178703836003,-0.45947154147094177,9.94077745870262e-4,0.2174138810300538,
09,Connecticut,2023,16.156739848671112,0.05666598209153471,0.6053098995453713,9.898656622423154e-4,0.13748064662638634,0.04964544041940899
45,South Carolina,2016,17.103523443742496,0.054848918870970785,0.5881478005348586,9.867905921336557e-4,0.1440611270316316,-0.08337311481435285
54,West Virginia,2022,16.402500174198845,0.052067713380687906,0.5620188083419103,9.84099320857228e-4,0.15527592229750772,0.0491864572427253
13,Georgia,2018,17.849501293648615,-0.05805440451254153,-0.6180369045382976,9.810771494647523e-4,0.13159744236525228,-0.010449321211705618
19,Iowa,2020,17.436107166587682,0.058232509637027474,0.6196366886003133,9.790012806101033e-4,0.1307667560937242,0.11252070704052365
40,Oklahoma,2015,17.51769202710305,-0.05412400954509601,-0.5807946780286256,9.719446605134298e-4,0.145298965781472,
33,New Hampshire,2021,15.496305603774697,-0.057454228207332314,-0.6119240819379062,9.683763029392973e-4,0.13238218262053147,0.0482171590410149
48,Texas,2017,18.960146655252412,-0.0570397620557556,-0.6076657676513977,9.586510267825094e-4,0.13282763495481031,-0.08042908711149158
54,West Virginia,2017,16.467153497539233,-0.05638823261809496,-0.6012937329022667,9.520435963236564e-4,0.13446791335580643,0.03079560277598692
28,Mississippi,2022,14.403050928662527,-0.05691211963608213,-0.6061596290113961,9.504390214444166e-4,0.1324089433468338,-0.31981242069306876
29,Missouri,2022,18.20336428551442,0.057147706285122,0.608137281120243,9.440376876444331e-4,0.13089166778325842,0.06329545149878893
23,Maine,2017,15.242458875022518,0.054656223865971604,0.582298533356352,8.808632523212805e-4,0.13290353362643112,0.01948125237462292
40,Oklahoma,2022,17.44716075959136,0.05472612226873355,0.5829414601926698,8.804910392700872e-4,0.13260078311100335,0.08281319057306494
16,Idaho,2023,15.553408310676824,-0.0514987991423215,-0.5520410706222967,8.653465642395244e-4,0.14349286066295727,-0.0018809482339934818
46,South Dakota,2020,15.840787393535324,0.054164706108785744,0.5767449319556666,8.569983735790928e-4,0.13194994260386403,0.020200419461138572
50,Vermont,2021,15.43305532937137,0.05392853194645624,0.574123052344159,8.468237194195554e-4,0.1316260483028437,0.047195866608802144
55,Wisconsin,2020,17.091720444008715,-0.053342039906704004,-0.5676175626333178,8.219468127463827e-4,0.13082514695385727,0.07248516928700527
27,Minnesota,2016,15.860508566631013,-0.051659166040315584,-0.5516008532436361,8.171035259135675e-4,0.13677405492815906,0.023768684284506385
19,Iowa,2016,17.506069788824288,-0.05034494872735548,-0.53919589564828,8.153897765865425e-4,0.14197841725708443,-0.07135926646389995
55,Wisconsin,2018,17.033315178922418,0.05176431822557725,0.5524730174736753,8.142559578194774e-4,0.13599070546026948,0.004863891455058028
18,Indiana,2015,17.665103076831652,0.052380150707264296,0.5581221089935632,8.108186418803552e-4,0.13312875770315186,
54,West Virginia,2021,16.419566065328763,0.0491864572427253,0.5277863726898175,8.021152231934823e-4,0.1452200985465765,-0.02918252625852974
06,California,2021,17.510964002357014,-0.050003548206136866,-0.5349949773399447,7.912423737600718e-4,0.14023096953965972,-0.003666902920946108
40,Oklahoma,2016,17.48347418130951,-0.05165486206613843,-0.5502192817909771,7.84261971699202e-4,0.13257813948643907,-0.05412400954509601
16,Idaho,2017,15.265883349957909,-0.04918981837999259,-0.5268338258325721,7.786255957991275e-4,0.14200906958286463,0.11126646128725665
28,Mississippi,2015,14.50601687950248,-0.04865243536581199,-0.5215376347450984,7.725260121218919e-4,0.1435196087084302,
33,New Hampshire,2022,15.504331932835077,-0.04982466019515876,-0.5325055963692852,7.718342708969692e-4,0.13837180852593742,-0.057454228207332314
05,Arkansas,2019,17.252918089592043,-0.04963317029775169,-0.5303142326138919,7.624750604879546e-4,0.13790122302578375,0.004041330733224731
34,New Jersey,2016,16.674930393416055,-0.050017140089283416,-0.5336077257306816,7.550372751860849e-4,0.1352848743165427,-0.047258782356691786
23,Maine,2022,15.364748982791367,-0.049615378400199035,-0.5297011259265048,7.519131401422061e-4,0.13652377221824993,0.027296366058994617
30,Montana,2019,14.830368513352509,0.04985278160419455,0.531638309256054,7.449761660231266e-4,0.13458221450844482,0.03235656255045784
27,Minnesota,2023,15.940989566410382,0.05040843150198064,0.536240983695038,7.302476239850861e-4,0.13030710079925745,0.025768298576731914
08,Colorado,2020,16.616340845464364,0.04987621400364172,0.5312319414126415,7.302074508819959e-4,0.13244271440488392,0.009262884628734324
41,Oregon,2017,16.8484878721408,-0.04225758244607826,-0.45980466683930776,7.273525056003775e-4,0.16873000064349178,0.025051482109756343
