model,term,estimate,cluster_se,statistic,p_value,lower,upper,n,states,r_squared
highway_preservation_component,l_permits_t,0.19832582396036172,0.12485701671829254,1.5884235357619707,0.11889592349000767,-0.05285409499526203,0.44950574291598544,419,48,0.9945260849466216
highway_preservation_component,l_preservation,0.007509057079327189,0.02368909299254278,0.31698373093858034,0.752659740145541,-0.040147251027283004,0.055165365185937384,419,48,0.9945260849466216
highway_preservation_component,l_gdp_t,0.5369222698062983,0.17134629824511724,3.1335504490339856,0.0029725361732731844,0.19221797974897253,0.8816265598636241,419,48,0.9945260849466216
without_highway_full_available,l_permits_t,0.19879996450020526,0.12146531249184075,1.6366809620117624,0.10837677635255276,-0.045556725652476954,0.44315665465288745,427,48,0.9945613870383517
without_highway_full_available,l_gdp_t,0.5455994045174527,0.17261708809973525,3.1607496715633077,0.0027532083468591764,0.1983386150251551,0.8928601940097503,427,48,0.9945613870383517
secondary_industrial_energy_2017_usd_per_mmbtu,l_permits_t,0.16970015133393773,0.09327380203975577,1.8193763696006198,0.07522724981691206,-0.017942535099049,0.35734283776692444,419,48,0.9947670950844403
secondary_industrial_energy_2017_usd_per_mmbtu,l_highway_t,0.04504816077734767,0.03897120154418207,1.1559346130571848,0.2535502334897528,-0.0333517842378114,0.12344810579250673,419,48,0.9947670950844403
secondary_industrial_energy_2017_usd_per_mmbtu,l_gdp_t,0.5187837962118476,0.17400242248444636,2.9814745611269884,0.004533812234712405,0.16873607341276375,0.8688315190109314,419,48,0.9947670950844403
secondary_industrial_energy_2017_usd_per_mmbtu,extra_log,0.30162709006299504,0.24663916402949182,1.222948882631341,0.22744582503687566,-0.19454690848757472,0.7978010886135648,419,48,0.9947670950844403
secondary_heavy_civil_employment_thousands,l_permits_t,0.07074139220701743,0.0752628395742623,0.9399245711054586,0.3538864117086924,-0.0822111002734374,0.22369388468747226,304,35,0.9962529740459793
secondary_heavy_civil_employment_thousands,l_highway_t,0.033439342239267145,0.03849318769195612,0.8687080557439758,0.3910978336837172,-0.044788227093847055,0.11166691157238134,304,35,0.9962529740459793
secondary_heavy_civil_employment_thousands,l_gdp_t,0.6156450653195606,0.18921786510718094,3.2536307550602235,0.002577649098345685,0.23110809789067155,1.0001820327484499,304,35,0.9962529740459793
secondary_heavy_civil_employment_thousands,extra_log,0.21228622849009812,0.12597000220796314,1.6852125487751919,0.10110618229621134,-0.04371561683577582,0.46828807381597204,304,35,0.9962529740459793
secondary_active_stone_mines,l_permits_t,0.18447309541778378,0.1230753498049659,1.4988630599881552,0.14059643361779192,-0.0631225720263289,0.43206876286189644,419,48,0.9946879085588166
secondary_active_stone_mines,l_highway_t,0.033831398848952206,0.042228001640875805,0.8011603091396144,0.427070593063807,-0.05112038286584466,0.11878318056374906,419,48,0.9946879085588166
secondary_active_stone_mines,l_gdp_t,0.47855605370267223,0.15587352286946154,3.0701561425762196,0.003549221938699685,0.1649789727283933,0.7921331346769511,419,48,0.9946879085588166
secondary_active_stone_mines,extra_log,0.13181472537938035,0.05779145473554839,2.2808687890374064,0.027133156500134696,0.015553314540497742,0.24807613621826297,419,48,0.9946879085588166
