state_fips,year,active_stone_mines,stone_mine_employees,stone_mine_employee_hours,stone_mine_operations,msha_no_qualifying_activity,msha_uses_current_commodity,msha_activity_not_rated_capacity
21,2020,70,693,1463799,70,FALSE,TRUE,TRUE
21,2021,70,672,1340800,70,FALSE,TRUE,TRUE
21,2022,71,694,1384121,71,FALSE,TRUE,TRUE
21,2023,70,703,1449391,70,FALSE,TRUE,TRUE
22,2015,2,18,28071,2,FALSE,TRUE,TRUE
22,2016,2,12,19257,2,FALSE,TRUE,TRUE
22,2017,2,9,15162,2,FALSE,TRUE,TRUE
22,2018,2,8,13678,2,FALSE,TRUE,TRUE
22,2019,1,6,12070,1,FALSE,TRUE,TRUE
22,2020,1,6,8099,1,FALSE,TRUE,TRUE
22,2021,1,1,1980,1,FALSE,TRUE,TRUE
22,2022,1,1,520,1,FALSE,TRUE,TRUE
22,2023,0,0,0,0,TRUE,TRUE,TRUE
23,2015,34,165,211342,34,FALSE,TRUE,TRUE
23,2016,34,189,230813,34,FALSE,TRUE,TRUE
23,2017,34,194,259068,34,FALSE,TRUE,TRUE
23,2018,34,176,263697,34,FALSE,TRUE,TRUE
23,2019,35,172,270520,35,FALSE,TRUE,TRUE
23,2020,35,166,271754,35,FALSE,TRUE,TRUE
23,2021,36,170,260384,36,FALSE,TRUE,TRUE
23,2022,35,158,260288,35,FALSE,TRUE,TRUE
23,2023,35,178,268424,35,FALSE,TRUE,TRUE
24,2015,30,224,448978,30,FALSE,TRUE,TRUE
24,2016,27,226,494326,27,FALSE,TRUE,TRUE
24,2017,26,223,502363,26,FALSE,TRUE,TRUE
24,2018,25,227,479666,25,FALSE,TRUE,TRUE
24,2019,22,217,458975,22,FALSE,TRUE,TRUE
24,2020,24,217,440332,24,FALSE,TRUE,TRUE
24,2021,25,232,466865,25,FALSE,TRUE,TRUE
24,2022,26,225,480819,26,FALSE,TRUE,TRUE
24,2023,27,280,552146,27,FALSE,TRUE,TRUE
25,2015,52,346,674285,52,FALSE,TRUE,TRUE
25,2016,53,380,718808,53,FALSE,TRUE,TRUE
25,2017,53,366,686283,53,FALSE,TRUE,TRUE
25,2018,51,372,712231,51,FALSE,TRUE,TRUE
25,2019,53,438,828375,53,FALSE,TRUE,TRUE
25,2020,53,377,718240,53,FALSE,TRUE,TRUE
25,2021,52,366,717587,52,FALSE,TRUE,TRUE
25,2022,53,384,707301,53,FALSE,TRUE,TRUE
25,2023,49,377,696028,49,FALSE,TRUE,TRUE
26,2015,21,239,532797,21,FALSE,TRUE,TRUE
26,2016,22,245,516520,22,FALSE,TRUE,TRUE
26,2017,21,256,554012,21,FALSE,TRUE,TRUE
26,2018,25,270,565914,25,FALSE,TRUE,TRUE
26,2019,23,261,540047,23,FALSE,TRUE,TRUE
26,2020,24,249,517548,24,FALSE,TRUE,TRUE
26,2021,24,269,547636,24,FALSE,TRUE,TRUE
26,2022,24,285,587003,24,FALSE,TRUE,TRUE
26,2023,26,315,631371,26,FALSE,TRUE,TRUE
27,2015,63,334,558203,63,FALSE,TRUE,TRUE
27,2016,62,313,544709,62,FALSE,TRUE,TRUE
27,2017,64,307,533124,64,FALSE,TRUE,TRUE
27,2018,63,301,512108,63,FALSE,TRUE,TRUE
27,2019,60,304,512949,60,FALSE,TRUE,TRUE
27,2020,60,293,505609,60,FALSE,TRUE,TRUE
27,2021,60,301,536208,60,FALSE,TRUE,TRUE
27,2022,56,283,498837,56,FALSE,TRUE,TRUE
27,2023,54,281,485676,54,FALSE,TRUE,TRUE
28,2015,3,7,7463,3,FALSE,TRUE,TRUE
28,2016,2,6,12613,2,FALSE,TRUE,TRUE
28,2017,3,8,18034,3,FALSE,TRUE,TRUE
28,2018,3,10,13611,3,FALSE,TRUE,TRUE
28,2019,3,8,16487,3,FALSE,TRUE,TRUE
28,2020,3,10,15629,3,FALSE,TRUE,TRUE
28,2021,3,9,18196,3,FALSE,TRUE,TRUE
28,2022,3,10,19449,3,FALSE,TRUE,TRUE
28,2023,3,11,20730,3,FALSE,TRUE,TRUE
29,2015,201,1160,2133387,201,FALSE,TRUE,TRUE
29,2016,205,1187,2301038,205,FALSE,TRUE,TRUE
29,2017,208,1179,2294208,208,FALSE,TRUE,TRUE
29,2018,206,1249,2321396,206,FALSE,TRUE,TRUE
29,2019,208,1235,2319447,208,FALSE,TRUE,TRUE
29,2020,202,1218,2338817,202,FALSE,TRUE,TRUE
29,2021,202,1264,2432905,202,FALSE,TRUE,TRUE
29,2022,203,1316,2557799,203,FALSE,TRUE,TRUE
29,2023,201,1316,2557360,201,FALSE,TRUE,TRUE
30,2015,38,178,250836,38,FALSE,TRUE,TRUE
30,2016,40,193,251370,40,FALSE,TRUE,TRUE
30,2017,38,162,214803,38,FALSE,TRUE,TRUE
30,2018,40,165,218274,40,FALSE,TRUE,TRUE
30,2019,39,156,200528,39,FALSE,TRUE,TRUE
30,2020,34,134,192616,34,FALSE,TRUE,TRUE
30,2021,34,151,207489,34,FALSE,TRUE,TRUE
30,2022,36,161,223478,36,FALSE,TRUE,TRUE
30,2023,35,150,221284,35,FALSE,TRUE,TRUE
