state_fips,year,construction_gdp_chained_2017_million_usd,total_gdp_chained_2017_million_usd,personal_income_nominal_million_usd
28,2018,3644.7,110174.8,111917.8
28,2019,3658.7,111207.8,116213.5
28,2020,3626.1,111195,125624.9
28,2021,3805.2,116078.4,138640.2
28,2022,3473.5,115700.3,138223.7
28,2023,3622.8,119454.2,146160.9
29,2015,11587.4,308009.9,259350
29,2016,12615.5,308423.3,267048.6
29,2017,13523.8,311273.8,273774.2
29,2018,13440.7,314182.4,286084.3
29,2019,13752.3,321329.1,297492.6
29,2020,14091.9,316158.6,321316.7
29,2021,14664.8,331578,351191.9
29,2022,13531.7,337225.4,361652.1
29,2023,13764.9,346895.3,387601.3
30,2015,2668.9,47765.6,44583.3
30,2016,2669.8,47189.6,45283.3
30,2017,2677.1,48470.5,48003.3
30,2018,2759.3,49455,50352
30,2019,2794.8,50263.5,53402.3
30,2020,2931.1,50062.9,58241.5
30,2021,3152.9,53345.9,65539.6
30,2022,3196.6,55806.9,69666.5
30,2023,3165.6,58604.9,74870.4
31,2015,4608.3,119640.8,94681.7
31,2016,4763.7,121303.1,93559.7
31,2017,5086.4,123219.9,95823.7
31,2018,5184,125543.4,100067.8
31,2019,5454.1,127568.9,104615.9
31,2020,5701.9,126711.2,111734.1
31,2021,5727.2,135166.4,125057.8
31,2022,5455.8,139878.1,130888.6
31,2023,5796.9,147146.5,142166.5
32,2015,8047.8,151055.9,125088.6
32,2016,9126.9,156007.4,129879.1
32,2017,10717.4,163199.1,138847
32,2018,11614.3,168638.5,148408.1
32,2019,12886.7,176029.7,159393
32,2020,13639.9,165924.8,170447.5
32,2021,14007.6,182618.3,192132.9
32,2022,13396.3,194463.9,199226.6
32,2023,13934.8,201158.6,214392.7
33,2015,2393.6,79319.3,72779.6
33,2016,2463.5,80736.1,75229
33,2017,2561,81179.6,78661
33,2018,2602.3,82269.5,82353.7
33,2019,2688.6,84438.2,87724.1
33,2020,2348.9,83682.9,93153.8
33,2021,2739.2,90296.7,102663.3
33,2022,2581.5,91702.1,105210.8
33,2023,2636.7,93645.8,111148.6
34,2015,21526.3,581414.9,530303.1
34,2016,21242.1,587049.7,545301.7
34,2017,21117.5,590086.7,566237.1
34,2018,20977.7,606892.2,591910.4
34,2019,21269.4,618691,625170.3
34,2020,20415.5,598481.3,653214.2
34,2021,20846.4,631158.3,707402.6
34,2022,19180.4,648512.4,719848.2
34,2023,19374.1,662320.1,765228.3
35,2015,3582.3,93503.9,79130.8
35,2016,3579.4,93043.5,80782.3
35,2017,3748.2,93210.1,82354.1
35,2018,3884.5,96077,86179.5
35,2019,4130.7,100342.2,91208.9
35,2020,4066.5,98004,98634.3
35,2021,3984.6,101499.2,107674.3
35,2022,3726.2,104212.8,112280.3
35,2023,4030.2,114059.2,117634.3
36,2015,48804.3,1565835.2,1137082.3
36,2016,51969.4,1590567.8,1176654.7
36,2017,53737.5,1624800.7,1255776.7
36,2018,54280.3,1665186.8,1298669
36,2019,54140.7,1704364.3,1343851.2
36,2020,49029.1,1667234.8,1415644.9
36,2021,49583.2,1750551.2,1515619.3
36,2022,44866.3,1781554.1,1526280.6
36,2023,43942.7,1793384.5,1617130.9
37,2015,19604.1,525229.1,414760.4
37,2016,21416.2,536308.5,429054.9
37,2017,22761.1,546810.1,449817.7
37,2018,23781.3,556573.7,473093.3
37,2019,25020.2,567975,501618.1
37,2020,25119.8,564278.8,541462.5
37,2021,26119,599293.8,604630.7
37,2022,25211.9,620666.5,632926.5
37,2023,25864,643045.8,677170.4
38,2015,4350.8,58694.5,40408.2
38,2016,3906,54756,39232
38,2017,3228.4,56530.2,39743.7
38,2018,2993.4,58516.4,42565.9
38,2019,3138.1,59408.5,43997.2
38,2020,2845.2,56602.8,47122.5
38,2021,2715.3,57351.3,51468.4
38,2022,2466.5,57031.1,55463.3
38,2023,2593.9,62114.7,56452.5
39,2015,22497.8,633274.8,511339.8
39,2016,23348.7,638157.5,521622.5
39,2017,25111.1,652187.5,541289.4
39,2018,25069.9,656212,562523
39,2019,25609.4,674063.9,582299.9
39,2020,25303.7,655730.1,623575
39,2021,25555.1,691630,676718.3
39,2022,23782.4,694473.4,685892.1
39,2023,23601.9,707996.2,730013.2
40,2015,7787.6,193792.6,172726.3
40,2016,7423,190093.5,164709
