state_fips,year,private_nonresidential_nominal_million_usd,private_nonresidential_nominal_million_usd_source_file,state_local_construction_nominal_million_usd,state_local_construction_nominal_million_usd_source_file
28,2020,991,nrstatehs1,2183,slstatehs
28,2021,976,nrstatehs1,1782,slstatehs
28,2022,1122,nrstate,2341,slstate
28,2023,1700,nrstate,4082,slstate
29,2015,4083,nrstatehs1,3399,slstatehs
29,2016,4830,nrstatehs1,3780,slstatehs
29,2017,5161,nrstatehs1,4112,slstatehs
29,2018,5791,nrstatehs1,2973,slstatehs
29,2019,6354,nrstatehs1,3158,slstatehs
29,2020,5163,nrstatehs1,3570,slstatehs
29,2021,5532,nrstatehs1,4166,slstatehs
29,2022,6755,nrstate,5211,slstate
29,2023,7650,nrstate,6486,slstate
30,2015,1272,nrstatehs1,873,slstatehs
30,2016,841,nrstatehs1,930,slstatehs
30,2017,869,nrstatehs1,1104,slstatehs
30,2018,765,nrstatehs1,1565,slstatehs
30,2019,812,nrstatehs1,1257,slstatehs
30,2020,850,nrstatehs1,1499,slstatehs
30,2021,1026,nrstatehs1,1697,slstatehs
30,2022,1388,nrstate,1302,slstate
30,2023,1290,nrstate,1866,slstate
31,2015,1612,nrstatehs1,2556,slstatehs
31,2016,2068,nrstatehs1,2645,slstatehs
31,2017,2254,nrstatehs1,1878,slstatehs
31,2018,2863,nrstatehs1,1793,slstatehs
31,2019,2614,nrstatehs1,1626,slstatehs
31,2020,2536,nrstatehs1,2193,slstatehs
31,2021,2485,nrstatehs1,3011,slstatehs
31,2022,3399,nrstate,3138,slstate
31,2023,4786,nrstate,3305,slstate
32,2015,5830,nrstatehs1,2216,slstatehs
32,2016,6482,nrstatehs1,2649,slstatehs
32,2017,4867,nrstatehs1,2340,slstatehs
32,2018,4247,nrstatehs1,2949,slstatehs
32,2019,4517,nrstatehs1,4491,slstatehs
32,2020,5145,nrstatehs1,3683,slstatehs
32,2021,5952,nrstatehs1,3080,slstatehs
32,2022,7073,nrstate,2892,slstate
32,2023,8278,nrstate,4165,slstate
33,2015,564,nrstatehs1,751,slstatehs
33,2016,627,nrstatehs1,871,slstatehs
33,2017,893,nrstatehs1,885,slstatehs
33,2018,713,nrstatehs1,887,slstatehs
33,2019,726,nrstatehs1,624,slstatehs
33,2020,630,nrstatehs1,544,slstatehs
33,2021,886,nrstatehs1,777,slstatehs
33,2022,1012,nrstate,990,slstate
33,2023,1322,nrstate,1214,slstate
34,2015,4340,nrstatehs1,6704,slstatehs
34,2016,4833,nrstatehs1,6940,slstatehs
34,2017,6475,nrstatehs1,5135,slstatehs
34,2018,6982,nrstatehs1,5490,slstatehs
34,2019,6975,nrstatehs1,5918,slstatehs
34,2020,6202,nrstatehs1,6627,slstatehs
34,2021,6526,nrstatehs1,5883,slstatehs
34,2022,8086,nrstate,6625,slstate
34,2023,8214,nrstate,8119,slstate
35,2015,1401,nrstatehs1,1584,slstatehs
