state_fips,year,series_id,heavy_civil_employment_thousands,bls_months
38,2020,SMU38000002023700001,5.833333333333333,12
38,2021,SMU38000002023700001,5.133333333333333,12
38,2022,SMU38000002023700001,5.308333333333334,12
38,2023,SMU38000002023700001,5.725,12
39,2015,SMU39000002023700001,27.46666666666667,12
39,2016,SMU39000002023700001,27.216666666666665,12
39,2017,SMU39000002023700001,33.766666666666666,12
39,2018,SMU39000002023700001,31.958333333333332,12
39,2019,SMU39000002023700001,31.266666666666666,12
39,2020,SMU39000002023700001,29.008333333333333,12
39,2021,SMU39000002023700001,28.658333333333335,12
39,2022,SMU39000002023700001,29.708333333333332,12
39,2023,SMU39000002023700001,30.733333333333334,12
40,2015,SMU40000002023700001,15.65,12
40,2016,SMU40000002023700001,15.616666666666667,12
40,2017,SMU40000002023700001,17.908333333333335,12
40,2018,SMU40000002023700001,19.25,12
40,2019,SMU40000002023700001,19.333333333333332,12
40,2020,SMU40000002023700001,16.766666666666666,12
40,2021,SMU40000002023700001,16.558333333333334,12
40,2022,SMU40000002023700001,15.950000000000001,12
40,2023,SMU40000002023700001,16.55,12
41,2015,SMU41000002023700001,9.158333333333333,12
41,2016,SMU41000002023700001,9.283333333333333,12
41,2017,SMU41000002023700001,9.608333333333333,12
41,2018,SMU41000002023700001,10.141666666666667,12
41,2019,SMU41000002023700001,10.541666666666666,12
41,2020,SMU41000002023700001,10.233333333333334,12
41,2021,SMU41000002023700001,10.175,12
41,2022,SMU41000002023700001,10.55,12
41,2023,SMU41000002023700001,11.05,12
42,2015,SMU42000002023700001,34.95,12
42,2016,SMU42000002023700001,34.2,12
42,2017,SMU42000002023700001,39.733333333333334,12
42,2018,SMU42000002023700001,42.291666666666664,12
42,2019,SMU42000002023700001,41.525,12
42,2020,SMU42000002023700001,36.88333333333333,12
42,2021,SMU42000002023700001,37.483333333333334,12
42,2022,SMU42000002023700001,33.525,12
42,2023,SMU42000002023700001,33.108333333333334,12
45,2015,SMU45000002023700001,15.625,12
45,2016,SMU45000002023700001,18.358333333333334,12
