fhwa_state_token,year,highway_capital_outlays_nominal_thousand_usd,highway_construction_preservation_nominal_thousand_usd,state_fips,fhwa_reported_year,fhwa_footnote,fhwa_year_matches,fhwa_provenance
Georgia,2020,1762623,1191483,13,2020,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Georgia,2021,1765779,1187421,13,2021,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Georgia,2022,1803146,1122016,13,2022,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Georgia,2023,2090317,1437624,13,2023,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Hawaii,2015,320458,305320,15,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Hawaii,2016,194446,179506,15,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Hawaii,2017,293475,281337,15,2017,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Hawaii,2018,192775,178054,15,2018,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Hawaii,2019,243071,225431,15,2019,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Hawaii,2020,266020,250204,15,2020,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Hawaii,2021,136972,119049,15,2021,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Hawaii,2022,223540,206275,15,2022,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Hawaii,2023,171953,153769,15,2023,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Idaho,2015,366642,292669,16,2015,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Idaho,2016,299863,228207,16,2016,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Idaho,2017,307131,234401,16,2017,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
Idaho,2018,426560,346708,16,2018,,TRUE,legacy_parsed_archive; HTML footnotes verified; 2023 original reconciled
