state_fips,year,housing_units_authorized,housing_units_reported,permits_include_census_imputation,permits_universe_change
55,2023,21494,21208,TRUE,TRUE
56,2015,1903,1838,TRUE,FALSE
56,2016,1727,1670,TRUE,FALSE
56,2017,1926,1782,TRUE,FALSE
56,2018,1812,1623,TRUE,FALSE
56,2019,1708,1538,TRUE,FALSE
56,2020,2128,1892,TRUE,FALSE
56,2021,2706,2489,TRUE,FALSE
56,2022,3005,2818,TRUE,FALSE
56,2023,1681,1542,TRUE,TRUE
