time,state_fips,region_code,division_code,state_name,bldgs_1unit,units_1unit,value_1unit,bldgs_2unit,units_2unit,value_2unit,bldgs_34unit,units_34unit,value_34unit,bldgs_5punit,units_5punit,value_5punit,bldgs_1unit_rep,units_1unit_rep,value_1unit_rep,bldgs_2unit_rep,units_2unit_rep,value_2unit_rep,bldgs_34unit_rep,units_34unit_rep,value_34unit_rep,bldgs_5punit_rep,units_5punit_rep,value_5punit_rep,year
201899,21,3,6,Kentucky,7776,7776,1692350,125,250,25453,59,212,15099,321,5588,534863,6696,6696,1542232,95,190,20972,41,154,11534,277,5058,495380,2018
201999,21,3,6,Kentucky,7467,7467,1712857,156,312,30280,57,215,19305,189,3817,373395,6903,6903,1631142,137,274,27925,46,176,16022,175,3737,369784,2019
202099,21,3,6,Kentucky,8876,8876,1930009,160,320,33610,100,371,37514,92,1714,141439,7408,7408,1643786,143,286,30221,86,320,32234,63,916,64476,2020
202199,21,3,6,Kentucky,10087,10087,2429560,135,270,36327,52,189,20069,281,4295,426515,8678,8678,2135989,114,228,32297,40,147,14874,243,3331,331806,2021
202299,21,3,6,Kentucky,8783,8783,2246466,246,492,60664,78,282,29309,325,5521,987200,7702,7702,2015177,224,448,56742,72,264,28034,289,4420,877678,2022
202399,21,3,6,Kentucky,7826,7826,2099641,300,600,78511,143,534,63093,334,6455,772243,6587,6587,1829636,270,540,72503,125,478,56360,293,5444,641829,2023
201599,22,3,7,Louisiana,12322,12322,2636748,168,336,29593,30,103,6928,43,1069,103745,10693,10693,2315642,165,330,28541,21,72,3627,36,1020,94880,2015
201699,22,3,7,Louisiana,12518,12518,2561013,177,354,30679,46,164,16939,84,1467,158019,11182,11182,2297860,168,336,28435,34,123,12223,72,1330,141338,2016
201799,22,3,7,Louisiana,13557,13557,2800089,175,350,32285,31,107,10319,59,1210,143586,11386,11386,2356276,154,308,27650,11,38,2298,44,1067,114255,2017
201899,22,3,7,Louisiana,13733,13733,2837044,154,308,27132,25,97,11059,56,1697,233173,10964,10964,2272283,125,250,21208,15,58,7443,44,1609,215684,2018
201999,22,3,7,Louisiana,14013,14013,2903602,248,496,45984,39,137,13365,52,1147,173135,12888,12888,2703832,248,496,45984,38,133,13365,52,1147,173135,2019
202099,22,3,7,Louisiana,15457,15457,3192636,251,502,64992,22,75,9886,53,1249,160260,12919,12919,2682281,172,344,50192,5,18,1364,37,965,108276,2020
202199,22,3,7,Louisiana,16937,16937,3783984,240,480,43788,24,78,12335,50,1652,213954,14500,14500,3260034,80,160,9999,1,4,800,24,468,49772,2021
202299,22,3,7,Louisiana,13557,13557,3383744,320,640,81141,15,54,8318,64,1293,157329,11260,11260,2858532,319,638,72220,15,54,8318,64,1293,157329,2022
202399,22,3,7,Louisiana,11243,11243,2789851,310,620,78456,6,18,2062,94,2366,367897,8579,8579,2167556,289,578,73982,5,15,1663,78,1868,319870,2023
201599,23,1,1,Maine,2853,2853,588506,46,92,11271,15,58,6987,57,696,76250,2212,2212,457552,40,80,9750,15,58,6987,45,554,60524,2015
201699,23,1,1,Maine,3265,3265,698508,63,126,15444,27,105,14605,42,514,48387,2607,2607,567200,57,114,13717,27,105,14605,42,514,48387,2016
201799,23,1,1,Maine,3583,3583,755783,56,112,14440,10,36,3272,46,627,54254,2801,2801,628516,51,102,13006,10,36,3272,45,590,50424,2017
