year,state_fips,state,capital_right_of_way,capital_engineering,capital_construction_preservation,capital_outlay_total,physical_maintenance,traffic_control_operations,snow_ice_removal,other_services,toll_collection_expenses,highway_traffic_services_total,general_administration,research_planning,administration_research_total,traffic_supervision,highway_safety_driver_education,vehicle_inspection,size_weight_enforcement,law_enforcement_safety_total
2015,53,Washington,23489,224037,2116077,2363603,658463,80702,35462,0,0,116164,149604,33853,183457,2308,294100,1499,23518,321425
2016,53,Washington,24787,426304,1479023,1930114,408692,95397,37134,0,159714,292245,187988,33266,221254,200767,77779,21651,0,300197
2017,53,Washington,120382,319176,1655980,2095538,642610,82580,54680,0,166484,303744,236977,34861,271838,197986,16033,26860,0,240879
2018,53,Washington,55098,412131,1282480,1749709,874641,130677,77553,0,191699,399929,320145,42428,362573,224532,15473,30651,0,270656
2019,53,Washington,104916,370335,1331915,1807166,805758,147946,94957,0,0,242903,254354,44831,299185,229813,14042,31372,0,275227
2020,53,Washington,69182,415733,1317082,1801997,800309,139736,79133,0,0,218869,313791,27154,340945,235791,12740,32188,0,280719
2021,53,Washington,69086,328480,1400618,1798184,790292,140540,63724,0,0,204264,356654,40072,396726,222720,12719,30403,0,265842
2022,53,Washington,37331,442186,1268780,1748297,486754,105602,65614,0,0,171216,308866,37848,346714,189282,19580,0,0,208862
2023,53,Washington,38224,505217,1624065,2167506,537011,133142,81092,0,0,214234,178715,50793,229508,206541,17747,28195,0,252483
2015,54,West Virginia,23203,129640,501198,654041,222475,4135,61785,18116,7546,91582,115859,8017,123876,18769,18792,4011,4772,46344
2016,54,West Virginia,31238,147961,650847,830046,262268,8312,48264,21753,12618,90947,89863,7668,97531,17383,18217,3339,2805,41744
2017,54,West Virginia,55857,145682,615915,817454,245079,8418,33449,25503,8303,75673,62453,7575,70028,20266,21394,1724,2805,46189
2018,54,West Virginia,10432,170580,1696385,1877397,163385,9923,23971,23572,11271,68737,63756,1267,65023,17360,18692,5716,2704,44472
2019,54,West Virginia,10759,154103,746030,910892,270843,5730,18313,23269,16532,63844,64927,1267,66194,16724,17303,7215,3488,44730
2020,54,West Virginia,32877,138328,1222107,1393312,481502,8487,11398,30082,13427,63394,112367,1267,113634,25853,10964,939,3418,41174
2021,54,West Virginia,25563,118723,626154,770440,355434,7158,37836,25372,21904,92270,65548,1267,66815,28493,8945,1864,3508,42810
2022,54,West Virginia,30811,165513,992342,1188666,375711,8225,31411,28651,14538,82825,130923,3635,134558,26859,10673,1616,2909,42057
2023,54,West Virginia,29990,148978,1092940,1271908,456785,8374,32100,29309,17212,86995,135745,3909,139654,32435,12572,2552,4119,51678
2015,55,Wisconsin,66342,165254,1144880,1376476,68600,50744,88136,32275,0,171155,148361,50824,199185,54889,9767,6962,3869,75487
2016,55,Wisconsin,53154,133594,1366327,1553075,90089,60816,71306,34180,0,166302,156118,49346,205464,58501,9570,9125,2711,79907
2017,55,Wisconsin,66030,109377,1104140,1279547,96904,51020,80778,32964,0,164762,146341,42438,188779,53310,9669,8476,2274,73729
